date,Dishwasher,Home office,Fridge,Wine cellar,Garage door,Barn,Well,Microwave,Living room,Furnace,Kitchen,total_house_usage,Temperature,Humidity,Visibility,Pressure,Wind speed,Wind bearing,Percipitation intensity,Cloud cover,Summary,Month,Day,Weekday,is_weekend,Quarter,movave_7,movstd_7,movave_30,movstd_30,movave_90,movstd_90,movave_365,movstd_365,Season,Appliances,is_holiday
2016-01-01,90.702556948,144.76971665599999,111.682933339,31.257550003,19.048299988,111.661366674,35.580433443,18.318749995,99.103450003,594.06795001,18.032153931,1274.22516099,34.77827777777778,0.6314166666666666,9.774444444444445,1014.5714305555556,7.473833333333333,265.53472222222223,8.861111111111113e-05,0.5725,Clear,1,1,Friday,0,1,,,,,,,,,Winter,833.82049028,1
2016-01-02,85.02551919,155.771716658,94.898666652,24.075916658,19.220983356,185.617649996,34.46366675,8.947349998,73.505583311,651.612200007,15.854238540999999,1348.993491117,31.89211111111111,0.5734027777777778,9.988722222222222,1014.2665694444445,7.854611111111111,253.3736111111111,0.0,0.2662083333333334,Clear,1,2,Saturday,1,1,,,,,,,,,Winter,859.704719203,0
2016-01-03,52.46327105,194.758500008,72.527316681,32.89295001,19.554350001,146.753566653,34.488366718,24.122216654,29.408333342,613.224833334,18.927269890999998,1239.120974342,32.86729166666667,0.6462222222222223,9.93501388888889,1009.1187916666667,7.565541666666666,236.9361111111111,0.0,0.141875,Clear,1,3,Sunday,1,1,,,,,,,,,Winter,781.89198772,0
2016-01-04,79.997806995,162.271566662,86.54223335,31.016716657,19.139666675,46.42706664,40.868750061,19.028783335,83.001899998,702.221933346,17.180755613,1287.697179332,17.488222222222223,0.5601111111111111,9.870041666666667,1020.4579027777779,12.302555555555555,311.8666666666667,0.0,0.13052777777777777,Clear,1,4,Monday,0,1,,,,,,,,,Winter,906.9304237010001,0
2016-01-05,51.867488937,146.072683335,62.283900003,20.896983316,20.142316658,49.163716653,16.01683341,12.249066691,44.016466672,801.541999986,8.520104784,1232.771560445,12.437458333333332,0.5732222222222223,9.986958333333332,1035.298125,4.856055555555556,293.0736111111111,0.0,0.0021666666666666666,Clear,1,5,Tuesday,0,1,,,,,,,,,Winter,948.084772275,0
2016-01-06,68.706040118,162.897150009,63.184816673,30.08339999,19.855850003,46.353383338,18.025950097,22.94480003,47.878450008,641.624666661,13.591538,1135.146044927,21.518944444444443,0.5678611111111111,9.905902777777778,1030.96325,3.9383055555555555,208.04861111111111,0.0,0.010472222222222223,Clear,1,6,Wednesday,0,1,,,,,,,,,Winter,816.316173485,0
2016-01-07,0.172257209,162.442450022,88.194449996,21.11361667,18.999699989,168.154699997,13.929016757,16.071816671,102.149200013,564.738700001,16.016836557999998,1171.982743883,23.577555555555556,0.6306388888888889,9.953319444444444,1025.506347222222,2.8587222222222226,100.99027777777778,0.0,0.01375,Clear,1,7,Thursday,0,1,1241.4195935765713,71.86280794457986,,,,,,,Winter,688.1769238659999,0
2016-01-08,62.611254407,119.642166661,128.492999993,24.150200007,21.694800004,144.338816658,17.994450098999998,8.581116699,42.928733333,621.132916665,15.125853452,1206.693307978,32.93134722222222,0.7286527777777778,9.654083333333334,1024.2745555555557,4.861152777777778,43.50277777777778,0.0,0.28480555555555553,Clear,1,8,Friday,0,1,1231.7721860034287,71.25515343007085,,,,,,,Winter,842.5130877680001,0
2016-01-09,0.088359642,144.558083331,67.134316674,33.971616674,20.769549991,148.548666667,25.400800097,12.156700005,93.407816688,523.603799995,14.391504524999998,1084.031214289,38.60738888888889,0.810875,8.814666666666668,1021.1263611111111,4.596708333333334,62.60138888888889,0.0006640277777777777,0.5186111111111111,Clear,1,9,Saturday,1,1,1193.920432170857,68.94569700767053,,,,,,,Winter,623.7527263070001,0
2016-01-10,110.389307954,122.082933324,99.278500014,30.777483353,19.212249999,87.431666679,25.805116744,9.323049987000001,102.884999995,437.617750026,17.586670456,1062.389728531,43.847347222222226,0.7610972222222222,7.7486250000000005,999.0653055555556,9.96251388888889,203.0611111111111,0.0243525,0.48715277777777777,Clear,1,10,Sunday,1,1,1168.6731113407143,80.94885354239693,,,,,,,Winter,675.82085798,0
2016-01-11,32.814571765,120.880266683,89.074283349,19.958299999,18.862483328,54.728849993,34.568433404,17.27346666,142.858950011,691.716883305,16.429704842,1239.166193339,23.497555555555557,0.5106944444444445,9.990833333333333,1014.8777638888889,8.573569444444445,244.89583333333334,0.0,0.09663888888888889,Clear,1,11,Monday,0,1,1161.7401133417143,70.45374600711978,,,,,,,Winter,849.741688407,0
2016-01-12,40.702154632,205.993266668,70.547749993,31.834650019,19.105933328,47.121916663,17.845900103,13.865099994,42.832300012,674.538133339,10.124820791,1174.511925542,26.743333333333336,0.6538333333333333,8.044569444444445,1006.4088333333333,8.87476388888889,216.65694444444443,0.0009626388888888889,0.237,Clear,1,12,Tuesday,0,1,1153.4173083555713,63.790217494593705,,,,,,,Winter,818.7590712859999,0
2016-01-13,79.237166083,135.977483326,78.739900003,19.420533349,19.997433329,47.463183321,17.36993333,8.330116669,35.275333327,859.479083347,15.342139852999999,1316.632305937,19.468722222222222,0.5745,9.417902777777778,1012.5126805555556,8.959958333333333,253.67916666666667,0.0,0.16495833333333332,Clear,1,13,Wednesday,0,1,1179.343917071286,87.57389658624567,,,,,,,Winter,1045.783699431,0
2016-01-14,64.521053484,133.325016674,65.486233323,23.572733325,19.691716683,56.601550006000004,19.714899986,12.205116697,48.070999991,759.304333312,15.512202808,1218.005856289,26.101000000000003,0.6705416666666667,9.975444444444443,1013.8273333333334,4.002736111111111,180.9125,0.0,0.27140277777777777,Clear,1,14,Thursday,0,1,1185.918647415,88.65014880558024,,,,,,,Winter,921.208453499,0
2016-01-15,40.892040812,119.929683334,65.190166659,24.72104999,20.291316666,46.890683341,17.798349993,9.564100014,39.036416655,570.047933351,12.452605598,966.814346413,36.28576388888889,0.779,8.06,1004.0200138888889,4.773458333333333,89.95694444444445,0.009059305555555557,0.4790416666666667,Clear,1,15,Friday,0,1,1151.650224334286,120.07492643658254,,,,,,,Winter,705.985557502,0
2016-01-16,106.668453852,205.543283324,98.00665,41.083733327,21.54916668,88.114133345,33.984283327,12.715799991999999,37.741683337,494.327949997,15.301003033,1155.036140214,35.060375,0.7154722222222222,9.907194444444444,1006.1744722222222,6.541124999999999,283.2888888888889,0.0002086111111111111,0.26095833333333335,Clear,1,16,Saturday,1,1,1161.7937851807142,116.35206549722842,,,,,,,Winter,733.268020521,0
2016-01-17,55.976972216,86.570449991,89.292699975,29.731483343,18.954583328000002,126.243516681,23.681399992,19.501316678,143.278799989,651.513716668,10.912986061,1255.657924922,26.393625,0.6291388888888889,8.789569444444444,1005.4143055555556,8.485402777777777,216.61111111111111,0.00039472222222222225,0.31686111111111115,Clear,1,17,Sunday,1,1,1189.4035275222857,111.66918705011726,,,,,,,Winter,835.239288865,0
2016-01-18,0.171469185,138.591466679,67.50746666,26.521616674,18.762166677,173.008833322,30.75819999,10.549166671,121.125799997,885.338933321,18.513921119,1490.849040295,18.06105555555556,0.4945277777777778,9.259291666666668,1009.5645000000001,16.695888888888888,289.3208333333333,0.0,0.13304166666666667,Clear,1,18,Monday,0,1,1225.3582199445714,160.29344909153085,,,,,,,Winter,982.329202514,1
2016-01-19,67.191699099,208.867116672,61.26436665,22.955183342,18.649933334,46.955916664,28.194517147,11.015116696,45.099882847,1064.793066644,14.59340529,1589.5802043850001,22.187708333333333,0.529125,9.868374999999999,1017.1771527777778,13.793222222222223,304.02777777777777,0.0,0.058694444444444445,Clear,1,19,Tuesday,0,1,1284.6536883507142,208.01625706126882,,,,,,,Winter,1222.914182423,0
2016-01-20,0.135855889,108.058833348,81.643900007,23.796349987,19.91118333,69.398000006,19.189983299,11.066649992,31.277233324,783.20241665,13.491520935,1161.171926767,24.203013888888886,0.5366111111111111,10.0,1018.3489166666666,8.19061111111111,302.3625,0.0,0.08726388888888889,Clear,1,20,Wednesday,0,1,1262.445062755,212.2879849464763,,,,,,,Winter,895.960005868,0
2016-01-21,72.719988051,117.355650003,61.472399998,21.503549994,20.460583355,89.195150007,20.178699991,6.454900044,46.182283342,717.450183331,14.209804836,1187.183192952,21.398722222222222,0.4897916666666666,10.0,1022.8158750000001,8.930777777777777,250.38194444444446,0.0,0.015444444444444446,Clear,1,21,Thursday,0,1,1258.0418251354288,213.6784647470693,,,,,,,Winter,878.5580547789999,0
2016-01-22,0.127322655,82.779899994,61.871966688,22.511283325,19.069250006,143.292883348,17.078983348,8.651200019,24.144583324,751.528233343,15.292153914,1146.347759964,23.366416666666666,0.5343333333333333,9.326291666666666,1016.7804027777778,10.648708333333333,24.968055555555555,0.0001298611111111111,0.10941666666666666,Clear,1,22,Friday,0,1,1283.6894556427142,181.20358300220244,,,,,,,Winter,841.247972711,0
2016-01-23,131.632737677,115.679449991,83.536849995,36.098616656,20.23721665,119.385750004,35.065733344,30.688150022,67.401316656,780.663550022,19.278237474,1439.667608491,23.756486111111112,0.4785833333333333,9.351791666666667,1011.3816666666668,9.94138888888889,209.40694444444443,0.00043,0.06684722222222222,Clear,1,23,Saturday,1,1,1324.351093968,179.4493232703433,,,,,,,Winter,1046.758504366,0
2016-01-24,0.2289074,66.214233341,63.04053334,24.678983337,20.103833348,229.646616668,20.467849982,5.806516719,2.104716665,687.382866637,10.311771767,1129.986829204,27.414833333333334,0.5498194444444444,9.993152777777777,1021.9895277777778,4.445694444444444,244.52083333333334,0.0,0.09994444444444443,Clear,1,24,Sunday,1,1,1306.3980802940002,193.2247822170339,,,,,,,Winter,776.562657444,0
