date,total_house_usage,total_house_usage_log
2016-01-01,1274.22516099,7.15087803885604
2016-01-02,1348.993491117,7.207855050026037
2016-01-03,1239.120974342,7.1229642137936455
2016-01-04,1287.697179332,7.161387048521871
2016-01-05,1232.771560445,7.1178310661329895
2016-01-06,1135.146044927,7.035397151693058
2016-01-07,1171.982743883,7.06730513744808
2016-01-08,1206.693307978,7.096467462136558
2016-01-09,1084.031214289,6.989364034490696
2016-01-10,1062.389728531,6.969216941940459
2016-01-11,1239.166193339,7.123000676504573
2016-01-12,1174.511925542,7.069459013009054
2016-01-13,1316.632305937,7.183591697337137
2016-01-14,1218.005856289,7.105790933644465
2016-01-15,966.814346413,6.87504027798669
2016-01-16,1155.036140214,7.05275231190454
2016-01-17,1255.657924922,7.136211035454261
2016-01-18,1490.849040295,7.307771596217779
2016-01-19,1589.580204385,7.371854137069632
2016-01-20,1161.171926767,7.058045884098015
2016-01-21,1187.183192952,7.080180690856106
2016-01-22,1146.347759964,7.04520826207778
2016-01-23,1439.667608491,7.272861902140526
2016-01-24,1129.986829204,7.0308458307821775
2016-01-25,1190.565960423,7.08302365415299
2016-01-26,1062.799947148,6.969602632625945
2016-01-27,930.933130655,6.837261063887316
2016-01-28,1049.022244257,6.956566627933837
2016-01-29,1121.633926667,7.023432923561326
2016-01-30,1015.83910984,6.924454182786206
2016-01-31,1076.144393681,6.982068738439968
2016-02-01,893.5132824679999,6.7962797518804505
2016-02-02,885.200596176,6.78694333149818
2016-02-03,780.336166388,6.661005487945428
2016-02-04,804.700478282,6.69171205840591
2016-02-05,1022.953594126,6.931426486336223
2016-02-06,875.168195119,6.775558076066569
2016-02-07,1029.05177574,6.937364347669041
2016-02-08,1308.503392059,7.177403254291109
2016-02-09,1181.806412046,7.075645209037352
2016-02-10,999.768061194,6.908523045368082
2016-02-11,1365.207454583,7.2197938987189625
2016-02-12,1468.641074497,7.292773482950321
2016-02-13,1756.874303352,7.471860575889117
2016-02-14,1513.120389006,7.322589948013086
2016-02-15,1655.321019618,7.41235416858458
2016-02-16,1174.058197213,7.069072954894691
2016-02-17,1204.034411645,7.094263402898744
2016-02-18,1148.339807578,7.046942976143112
2016-02-19,1147.559898902,7.046264174797912
2016-02-20,1111.818531353,7.014651293375859
2016-02-21,1077.066329795,6.982924279998102
2016-02-22,1315.479208327,7.182716185668468
2016-02-23,1019.722723201,6.928266207531592
2016-02-24,1112.242306943,7.015032033729248
2016-02-25,732.693594257,6.598091494943114
2016-02-26,1324.725694493,7.189715282447709
2016-02-27,1066.390810676,6.972972454790273
2016-02-28,958.538160603,6.866452085999262
2016-02-29,805.687046874,6.69293579488331
2016-03-01,853.820479342,6.750891481209009
2016-03-02,893.845350125,6.7966509101879735
2016-03-03,990.789143511,6.899510527746887
2016-03-04,898.351778726,6.801674257962651
2016-03-05,732.921595816,6.598402205219727
2016-03-06,817.904400629,6.707967350091231
2016-03-07,950.42572832,6.857961626222404
2016-03-08,680.881351624,6.524855671482906
2016-03-09,648.754770495,6.476595015541588
2016-03-10,631.328255103,6.449408650295806
2016-03-11,597.984523329,6.3952357602674645
2016-03-12,745.902850126,6.615935123296294
2016-03-13,747.499652458,6.618070739541606
2016-03-14,975.707224546,6.8841869393196955
2016-03-15,886.987761167,6.788957960427596
2016-03-16,844.575168514,6.740017068602147
2016-03-17,739.896398937,6.607860803020733
2016-03-18,1034.202809521,6.942352637731554
2016-03-19,978.698919833,6.88724529980125
2016-03-20,1167.387456297,7.063379834660853
2016-03-21,1036.364364889,6.944438510921489
2016-03-22,957.928896926,6.865816929200409
2016-03-23,918.265461234,6.823574939440535
2016-03-24,812.548482395,6.701405522172735
2016-03-25,896.540431562,6.799658168441904
2016-03-26,1131.511524661,7.032193033606514
2016-03-27,847.955729807,6.744007041026011
2016-03-28,975.812431887,6.884294649872548
2016-03-29,1083.632632309,6.988996620907151
2016-03-30,910.505818485,6.815097977515787
2016-03-31,902.088551137,6.805820611883737
2016-04-01,697.932736899,6.549554509991333
2016-04-02,760.108635299,6.634776101022936
2016-04-03,1270.491893495,7.147946209297218
2016-04-04,1337.222927876,7.199097839572141
2016-04-05,1027.479493742,6.9358367708699395
2016-04-06,949.44334936,6.856928559268535
2016-04-07,803.0526789520001,6.689664788117131
2016-04-08,792.457315313,6.676399745593296
2016-04-09,1084.837974928,6.9901072950060215
2016-04-10,1025.102114267,6.933522547354297
2016-04-11,1034.392227498,6.942535597677021
2016-04-12,683.476633347,6.5286545073262525
2016-04-13,863.26618313,6.761880803682829
2016-04-14,883.164116192,6.784642697207386
2016-04-15,604.287110201,6.405702907777461
2016-04-16,468.601546518,6.1518845617750735
2016-04-17,763.84985494,6.639679546511154
2016-04-18,671.035069202,6.510310525473991
2016-04-19,725.016850385,6.587573224452145
2016-04-20,521.34042099,6.258319522817292
2016-04-21,651.463567097,6.4807553017713015
2016-04-22,675.793340203,6.517365968118008
2016-04-23,644.3241956960001,6.469752819506182
2016-04-24,706.737216203,6.562072861240394
2016-04-25,841.232576874,6.7360561956660465
2016-04-26,702.699915624,6.556352009069128
2016-04-27,701.021438971,6.5539639434042085
2016-04-28,848.27732977,6.7443857875885405
2016-04-29,813.920401609,6.703090441733733
2016-04-30,740.326906354,6.6084416971782725
2016-05-01,821.705721352,6.712598568510737
2016-05-02,969.289713338,6.877594700447695
2016-05-03,649.581063815,6.4778659078901875
2016-05-04,780.163980796,6.660785090407537
2016-05-05,832.917018899,6.7261338996854985
2016-05-06,876.4676998909999,6.777040145421519
2016-05-07,989.525071491,6.898235177772832
2016-05-08,953.00779048,6.860671837536537
2016-05-09,961.89271797,6.869942001615087
2016-05-10,650.203538357,6.47882224826847
2016-05-11,471.205559139,6.1574143974304825
2016-05-12,772.092734714,6.650399008680409
2016-05-13,800.549798696,6.686547101992241
2016-05-14,393.924842946,5.97869547577451
2016-05-15,830.368934508,6.723073660842593
2016-05-16,943.613072921,6.850775397003133
2016-05-17,694.571685301,6.544734076218919
2016-05-18,768.137450366,6.645269692631244
2016-05-19,597.32960476,6.394141780635968
2016-05-20,617.122145671,6.42668608464498
2016-05-21,369.299345218,5.9143117196706365
2016-05-22,413.768482827,6.027720491855798
2016-05-23,657.496052678,6.48995852675079
2016-05-24,386.436952509,5.959553132353219
2016-05-25,388.056889077,5.963725577339656
2016-05-26,404.887139187,6.006075138659463
2016-05-27,449.374502803,6.110079465105394
2016-05-28,447.17845199,6.1051914834373395
2016-05-29,469.172104979,6.153098808482658
2016-05-30,455.904833831,6.124475128139001
2016-05-31,574.870338711,6.355882528951128
2016-06-01,666.796066436,6.503982837159771
2016-06-02,647.596719054,6.474811135355952
2016-06-03,574.491703346,6.355224811630565
2016-06-04,1012.97341906,6.921631969862764
2016-06-05,920.653851614,6.826169720975386
2016-06-06,720.330100169,6.58109686908258
2016-06-07,656.68468693,6.4887256172781616
2016-06-08,750.478799992,6.6220429985382925
2016-06-09,660.203767588,6.494062064037108
2016-06-10,643.335583789,6.468219683222689
2016-06-11,376.689830104,5.934073303499404
2016-06-12,382.334378851,5.948907660122858
2016-06-13,678.108949573,6.520781570611911
2016-06-14,565.601890802,6.33965692449286
2016-06-15,584.982156357,6.373289339210674
2016-06-16,727.654798689,6.591200092683677
2016-06-17,726.909727859,6.590177040314345
2016-06-18,883.765941002,6.7853231365845925
2016-06-19,700.502178127,6.553224004494217
2016-06-20,609.880517644,6.4149013879113035
2016-06-21,631.232396704,6.449257042859584
2016-06-22,594.237079262,6.388959778725673
2016-06-23,695.339083231,6.545836730246896
2016-06-24,724.227569413,6.586485494447395
2016-06-25,564.587059303,6.337864234729037
2016-06-26,512.317360637,6.240894290613256
2016-06-27,720.87153653,6.581847195818129
2016-06-28,576.804751078,6.359236010701686
2016-06-29,665.599754521,6.502189797618246
2016-06-30,598.097173869,6.395423811784478
2016-07-01,629.596235746,6.446665777771862
2016-07-02,592.376021289,6.385828298022729
2016-07-03,744.637008506,6.614238898011344
2016-07-04,875.23911702,6.775639018323027
2016-07-05,587.680976525,6.377884401132954
2016-07-06,943.64273005,6.85080679257059
2016-07-07,756.479532459,6.629996517162375
2016-07-08,689.717583718,6.537731033593381
2016-07-09,610.546557615,6.4159910889665035
2016-07-10,511.149875397,6.238617307588557
2016-07-11,703.611503152,6.557646591564392
2016-07-12,581.986587238,6.36816417963301
2016-07-13,893.500497195,6.796265458784282
2016-07-14,909.80206388,6.814325600194922
2016-07-15,969.386960935,6.87769492074546
